3.560791667,5.3
4.667208333,5.4
6.373562500,6.1
9.093916667,6.3
10.284604167,6.4
12.020437500,7.1
14.852625000,7.2
15.936520833,7.3
17.603166667,7.4
20.390062500,8.1
23.039000000,8.2
25.954854167,8.3
26.973770833,8.4
28.680958333,9.1
31.450000000,9.2
32.571062500,9.3
34.289312500,9.4
36.902270833,10.1
38.205666667,10.2
39.879958333,10.3
42.581604167,10.4
45.454916667,11.1
48.347583333,11.2
49.380208333,11.3
51.116250000,11.4
53.995250000,12.1
54.974333333,12.2
56.785187500,12.3
59.563479167,12.4
60.508854167,13.1
62.214645833,13.2
65.050500000,13.3
67.803479167,13.4
70.588354167,14.1
71.663458333,14.2
73.485229167,14.3
76.223750000,14.4
77.321729167,15.1
79.021312500,15.2
81.652812500,15.3
82.807041667,15.4
84.532958333,16.1
87.292125000,16.2
90.163416667,16.3
92.895750000,16.4
94.041875000,17.1
95.744395833,17.2
98.553000000,17.3
99.586750000,17.4
101.374270833,18.1
104.169625000,18.2
105.206145833,18.3
106.881104167,18.4
109.617395833,19.1
112.532416667,19.2
115.276375000,19.3
116.402916667,19.4
118.000833333,20.1
120.723208333,20.2
121.912437500,20.3
123.660208333,20.4
126.434916667,21.1
129.145916667,21.2
131.886104167,21.3
134.869666667,21.4
137.594145833,22.1
138.726479167,22.2
140.420104167,22.3
143.254791667,22.4
144.295104167,23.1
146.008291667,23.2
148.749541667,23.3
149.795458333,23.4
151.562770833,24.1
154.274645833,29.1
156.808229167,29.2
157.342833333,29.3
158.000291667,29.4
158.744770833,30.1
159.456750000,30.2
160.291687500,30.3
160.955187500,30.4
161.571250000,31.1
162.222520833,31.2
163.350562500,31.3
163.940770833,31.4
164.608979167,32.1
